age,exposure_male,dx_male,expectedlife_male,qx_male,px_male,exposure_female,dx_female,expectedlife_female,qx_female,px_female
70,2412053.0,69885.0,14.79,0.030301,0.969699,2567840.0,49443.0,18.18,0.020115,0.979885
71,2135572.0,67424.0,14.25,0.032002,0.967998,2387844.0,49090.0,17.55,0.021067,0.978933
72,1908155.0,71179.0,13.73,0.033755,0.966245,2224552.0,53802.0,16.93,0.022084,0.977916
73,1699334.0,58720.0,13.2,0.035455,0.964545,2034525.0,46164.0,16.31,0.023111,0.976889
74,1544224.0,55527.0,12.69,0.037098,0.962902,1876813.0,43890.0,15.7,0.024162,0.975838
75,1489103.0,55477.0,12.18,0.038713,0.961287,1801880.0,43897.0,15.09,0.025266,0.974734
76,1441776.0,62974.0,11.67,0.040318,0.959682,1718129.0,49333.0,14.48,0.026431,0.973569
77,1341393.0,56532.0,11.16,0.041931,0.958069,1602456.0,44656.0,13.87,0.02766,0.97234
78,1268452.0,52910.0,10.65,0.043665,0.956335,1517906.0,42105.0,13.26,0.029022,0.970978
79,1174561.0,53299.0,10.13,0.045679,0.954321,1421191.0,42552.0,12.66,0.030617,0.969383
80,1012815.0,50331.0,9.62,0.048105,0.951895,1258504.0,41779.0,12.06,0.032506,0.967494
81,870874.0,42255.0,9.11,0.051056,0.948944,1124985.0,37619.0,11.47,0.034703,0.965297
82,735488.0,37796.0,8.6,0.054637,0.945363,972780.0,35663.0,10.88,0.037204,0.962796
83,592105.0,30902.0,8.09,0.058904,0.941096,818580.0,30209.0,10.3,0.039987,0.960013
84,506748.0,29440.0,7.6,0.063869,0.936131,721245.0,29913.0,9.73,0.043043,0.956957
85,444484.0,23777.0,7.12,0.069532,0.930468,645024.0,25017.0,9.16,0.046397,0.953603
86,393011.0,21497.0,6.65,0.075921,0.924079,578007.0,23724.0,8.61,0.050129,0.949871
87,355259.0,19960.0,6.19,0.083101,0.916899,516269.0,22451.0,8.06,0.054368,0.945632
88,325513.0,18729.0,5.76,0.091181,0.908819,459238.0,20206.0,7.53,0.05927,0.94073
89,289147.0,16144.0,5.33,0.100295,0.899705,400056.0,17128.0,7.0,0.065021,0.934979
90,249966.0,13730.0,4.93,0.11059,0.88941,337271.0,13761.0,6.49,0.07182,0.92818
91,214246.0,12961.0,4.54,0.122198,0.877802,282613.0,13024.0,5.99,0.079865,0.920135
92,162923.0,11928.0,4.17,0.13522,0.86478,205336.0,11820.0,5.51,0.089331,0.910669
93,119403.0,7621.0,3.83,0.149714,0.850286,145346.0,6934.0,5.05,0.100354,0.899646
94,98780.0,6659.0,3.5,0.165699,0.834301,122482.0,5993.0,4.62,0.113024,0.886976
95,78581.0,5435.0,3.19,0.183166,0.816834,101672.0,4807.0,4.2,0.127397,0.872603
96,62829.0,4654.0,2.91,0.202084,0.797916,84623.0,4419.0,3.82,0.143499,0.856501
97,50144.0,3381.0,2.65,0.222408,0.777592,68352.0,3360.0,3.46,0.161346,0.838654
98,39235.0,2201.0,2.41,0.244075,0.755925,54275.0,2232.0,3.12,0.180955,0.819045
99,29655.0,1675.0,2.18,0.267009,0.732991,41748.0,1929.0,2.81,0.202353,0.797647
100,21425.0,1241.0,1.98,0.291119,0.708881,30693.0,1456.0,2.53,0.225572,0.774428
101,15220.0,923.0,1.79,0.316297,0.683703,22816.0,1227.0,2.26,0.250649,0.749351
102,9030.0,615.0,1.62,0.342423,0.657577,13655.0,887.0,2.02,0.277614,0.722386
103,5099.0,295.0,1.46,0.369364,0.630636,7751.0,423.0,1.8,0.306485,0.693515
104,3915.0,268.0,1.32,0.396967,0.603033,6267.0,376.0,1.59,0.337265,0.662735
105,3231.0,168.0,1.18,0.425069,0.574931,5519.0,228.0,1.4,0.36994,0.63006
106,2705.0,138.0,1.06,0.453489,0.546511,4738.0,223.0,1.22,0.404473,0.595527
107,2031.0,100.0,0.94,0.482033,0.517967,3499.0,160.0,1.05,0.440808,0.559192
108,1490.0,88.0,0.81,0.510493,0.489507,2484.0,144.0,0.88,0.478863,0.521137
109,922.0,78.0,0.66,0.538649,0.461351,1508.0,102.0,0.69,0.518532,0.481468
110,275.0,37.0,0.43,0.566271,0.433729,425.0,70.0,0.44,0.559684,0.440316
111,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
